original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,adult,budget,id,original_language
Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,10/30/1995,373554033,81,Released,,Toy Story,FALSE,7.7,5415,FALSE,30000000,862,en
Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,12/15/1995,262797249,104,Released,Roll the dice and unleash the excitement!,Jumanji,FALSE,6.9,2413,FALSE,65000000,8844,en
Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",11.7129,12/22/1995,0,101,Released,Still Yelling. Still Fighting. Still Ready for Love.,Grumpier Old Men,FALSE,6.5,92,FALSE,0,15602,en
Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",3.859495,12/22/1995,81452156,127,Released,Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,FALSE,6.1,34,FALSE,16000000,31357,en
Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",8.387519,2/10/1995,76578911,106,Released,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,Father of the Bride Part II,FALSE,5.7,173,FALSE,0,11862,en
Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,12/15/1995,187436818,170,Released,A Los Angeles Crime Saga,Heat,FALSE,7.7,1886,FALSE,60000000,949,en
Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.677277,12/15/1995,0,127,Released,You are cordially invited to the most surprising merger of the year.,Sabrina,FALSE,6.2,141,FALSE,58000000,11860,en
Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",2.561161,12/22/1995,0,97,Released,The Original Bad Boys.,Tom and Huck,FALSE,5.4,45,FALSE,0,45325,en
Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,12/22/1995,64350171,106,Released,Terror goes into overtime.,Sudden Death,FALSE,5.5,174,FALSE,35000000,9091,en
GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,11/16/1995,352194034,130,Released,No limits. No fears. No substitutes.,GoldenEye,FALSE,6.6,1194,FALSE,58000000,710,en
The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,11/17/1995,107879496,106,Released,Why can't the most powerful man in the world have the one thing he wants most?,The American President,FALSE,6.5,199,FALSE,62000000,9087,en
Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,12/22/1995,0,88,Released,,Dracula: Dead and Loving It,FALSE,5.7,210,FALSE,0,12110,en
Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,12/22/1995,11348324,78,Released,Part Dog. Part Wolf. All Hero.,Balto,FALSE,7.1,423,FALSE,0,21032,en
Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,12/22/1995,13681765,192,Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,FALSE,7.1,72,FALSE,44000000,10858,en
Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,12/22/1995,10017322,119,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,FALSE,5.7,137,FALSE,98000000,1408,en
Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,11/22/1995,116112375,178,Released,No one stays at the top forever.,Casino,FALSE,7.8,1343,FALSE,52000000,524,en
Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,12/13/1995,135000000,136,Released,Lose your heart and come to your senses.,Sense and Sensibility,FALSE,7.2,364,FALSE,16500000,4584,en
Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,12/9/1995,4300000,98,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,FALSE,6.5,539,FALSE,4000000,5,en
Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.205448,11/10/1995,212385533,90,Released,New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,FALSE,6.1,1128,FALSE,30000000,9273,en
Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,11/21/1995,35431113,103,Released,"Get on, or GET OUT THE WAY!",Money Train,FALSE,5.4,224,FALSE,60000000,11517,en
Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,10/20/1995,115101622,105,Released,"The mob is tough, but it’s nothing like show business.",Get Shorty,FALSE,6.4,305,FALSE,30250000,8012,en
Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,10.701801,10/27/1995,0,124,Released,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,FALSE,6.5,199,FALSE,0,1710,en
Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",11.065939,10/6/1995,30303072,132,Released,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,FALSE,6,394,FALSE,50000000,9691,en
