original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,adult,newBudget,id,original_language,% budget,budgetType
Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1.845899,12/15/1995,0,123,Released,"Envy, greed, jealousy and love.",Othello,False,7.0,33,False,0,16420,en,0,low
Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,12/22/1995,11348324,78,Released,Part Dog. Part Wolf. All Hero.,Balto,False,7.1,423,False,0,21032,en,0,low
Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",9.481338,8/11/1995,180000000,99,Released,She broke the rules... and changed their lives.,Dangerous Minds,False,6.4,249,False,0,9909,en,0,low
Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,10.701801,10/27/1995,0,124,Released,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,False,6.5,199,False,0,1710,en,0,low
Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",2.561161,12/22/1995,0,97,Released,The Original Bad Boys.,Tom and Huck,False,5.4,45,False,0,45325,en,0,low
It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",7.777735,11/17/1995,0,101,Released,Two identical strangers. Two different worlds. One perfect match.,It Takes Two,False,6.1,149,False,0,33689,en,0,low
Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",8.387519,2/10/1995,76578911,106,Released,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,Father of the Bride Part II,False,5.7,173,False,0,11862,en,0,low
Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",11.7129,12/22/1995,0,101,Released,Still Yelling. Still Fighting. Still Ready for Love.,Grumpier Old Men,False,6.5,92,False,0,15602,en,0,low
Richard III,Shakespeare's Play transplanted into a 1930s setting.,4.561387,12/29/1995,0,104,Released,"I can smile, and murder while I smile",Richard III,False,6.9,50,False,0,31174,en,0,low
Carrington,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",1.493361,11/8/1995,0,121,Released,A Love so Unusual it has to be True,Carrington,False,6.4,16,False,0,47018,en,0,low
Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,10/27/1995,49800000,112,Released,I Love You... The Way You Are.,Leaving Las Vegas,False,7.1,365,False,3600000,451,en,360000000,high
Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,12/9/1995,4300000,98,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,False,6.5,539,False,4000000,5,en,400000000,high
